level,wood,clay,stone,crop,crop con.,time,cp,total,res/cp,time/cp,cp_delta,name,level,eff. Res/cp
16,87660,219155,109575,131490,3,7 days 21:55:30,18,547880,182626.6667,2 days 15:18:30,3,Woodcutter,16,182626.6667
16,153405,197240,153405,43830,2,6 days 10:41:50,18,547880,182626.6667,2 days 03:33:56.667000,3,Cropland,16,182626.6667
16,219155,175320,65745,131490,3,10 days 10:46:30,18,591710,197236.6667,3 days 11:35:30,3,Iron Mine,16,197236.6667
17,256190,329385,256190,73195,2,10 days 07:34:20,22,914960,228740,2 days 13:53:35,4,Cropland,17,228740
17,146395,365985,182995,219590,3,12 days 15:56:10,22,914965,228741.25,3 days 03:59:02.500000,4,Woodcutter,17,228741.25
17,292790,146395,292790,182995,3,7 days 09:07:00,22,914970,228742.5,1 days 20:16:45,4,Clay Pit,17,228742.5
17,365985,292790,109795,219590,3,16 days 17:17:40,22,988160,247040,4 days 04:19:25,4,Iron Mine,17,247040
18,427835,550075,427835,122240,2,16 days 12:10:10,27,1527985,305597,3 days 07:14:02,5,Cropland,18,305597
18,488955,244480,488955,305600,3,11 days 19:26:30,27,1527990,305598,2 days 08:41:18,5,Clay Pit,18,305598
18,244480,611195,305600,366715,3,20 days 06:21:20,27,1527990,305598,4 days 01:16:16,5,Woodcutter,18,305598
18,611195,488955,183360,366715,3,26 days 18:07:40,27,1650225,330045,5 days 08:25:32,5,Iron Mine,18,330045
19,714485,918625,714485,204140,2,26 days 09:55:00,32,2551735,510347,5 days 06:47:00,5,Cropland,19,510347
19,816555,408280,816555,510350,3,18 days 21:33:40,32,2551740,510348,3 days 18:42:44,5,Clay Pit,19,510348
19,408280,1020695,510350,612420,3,32 days 10:13:20,32,2551745,510349,6 days 11:38:40,5,Woodcutter,19,510349
19,1020695,816555,306210,612420,3,42 days 19:27:30,32,2755880,551176,8 days 13:29:30,5,Iron Mine,19,551176
20,1363650,681825,1363650,852280,3,30 days 05:45:10,38,4261405,710234.1667,5 days 00:57:31.667000,6,Clay Pit,20,710234.1667
20,1193195,1534105,1193195,340915,2,42 days 06:20:30,38,4261410,710235,7 days 01:03:25,6,Cropland,20,710235
20,681825,1704565,852280,1022740,3,51 days 21:12:50,38,4261410,710235,8 days 15:32:08.333000,6,Woodcutter,20,710235
20,1704565,1363650,511370,1022740,3,67 days 11:59:30,38,4602325,767054.1667,11 days 09:59:55,6,Iron Mine,20,767054.1667
